claim_id,proposed_claim,evidence_supporting,evidence_against_or_limiting,allowed_strength,manuscript_action,evidence_analysis_ids
A,Candidate program is associated with HRD/genomic instability in TNBC,TCGA HRD and SCAN-B WGS endpoints; METABRIC CNA proxy,Proliferation attenuation; TCGA aneuploidy/ploidy/WGD not supported,SUPPORTED_WITH_QUALIFICATION,Retain as observational association with specific genomic endpoints.,E0001;E0002;E0003;E0004;E0005;E0006;E0007;E0008;E0009;E0010;E0011;E0012;E0013;E0014;E0015;E0016;E0017;E0018;E0019;E0020;E0021;E0022;E0023;E0024;E0025;E0026;E0027;E0028;E0029;E0030;E0031;E0032;E0033;E0034;E0035;E0036;E0037;E0038;E0039;E0040;E0041;E0042;E0043;E0044;E0045;E0046;E0047;E0048;E0049;E0050;E0051;E0052;E0053;E0054;E0055;E0056;E0057;E0058;E0059;E0060;E0061;E0062;E0063;E0064;E0065;E0066;E0067;E0068;E0069;E0070;E0071;E0072;E0073;E0074;E0075;E0076;E0077;E0078;E0079;E0080;E0081;E0082;E0083;E0084;E0085;E0086;E0087;E0088;E0089;E0090;E0091;E0092;E0093;E0094;E0095;E0096;E0097;E0098;E0099;E0100;E0101;E0102;E0103;E0104;E0105;E0106;E0107;E0108;E0109;E0110;E0111;E0112;E0113;E0114;E0115;E0116;E0117;E0118;E0119;E0120;E0121;E0122;E0123;E0124;E0125;E0126;E0127;E0128;E0129;E0130;E0131;E0132;E0133;E0134;E0135;E0136;E0137;E0138;E0139;E0140;E0141;E0142;E0143;E0144;E0145;E0146;E0147;E0148;E0149;E0150;E0151;E0152;E0153;E0154;E0155;E0156;E0157;E0158;E0159;E0160;E0161;E0162;E0163;E0164;E0165;E0166;E0167;E0168;E0169;E0170;E0171;E0172;E0173;E0174;E0175;E0176;E0177;E0178;E0179;E0180;E0181;E0182;E0183;E0184;E0185;E0186;E0187;E0188;E0189;E0190;E0191;E0192;E0193;E0194;E0195;E0196;E0197;E0198;E0199;E0200;E0201;E0202;E0203;E0204;E0205;E0206;E0207;E0208;E0209;E0210;E0211;E0212;E0213;E0214;E0243;E0244;E0245
B,Unadjusted association independently replicates in SCAN-B,Both WGS endpoints positive with HC3 and Holm support in 225 patients,Independent cohort does not mean confounder-independent or statistically independent endpoints,SUPPORTED,Retain explicitly as independent-cohort unadjusted replication.,E0084;E0085;E0086;E0087;E0088;E0089;E0090;E0091;E0092;E0093;E0094;E0095;E0096;E0097;E0098;E0099;E0100;E0101;E0102;E0103;E0104;E0105;E0106;E0107;E0108;E0109;E0110;E0111;E0112;E0113;E0114;E0115;E0116;E0117;E0118;E0119;E0120;E0121;E0122;E0123;E0124;E0125;E0126;E0127;E0128;E0129;E0130;E0131;E0132;E0133;E0134;E0135;E0136;E0137;E0138;E0139;E0140;E0141;E0142;E0143;E0144;E0145;E0146;E0147;E0148;E0149;E0150;E0151;E0152;E0153;E0154;E0155;E0156;E0157;E0158;E0159;E0160;E0161;E0162;E0163;E0164;E0165;E0166;E0167;E0168;E0169;E0170;E0171;E0172;E0173;E0174;E0175;E0176;E0177;E0178;E0179;E0180;E0181;E0182
C,Association is independent of proliferation,TCGA adjusted HRD retains support,SCAN-B both adjusted tests nonsignificant; METABRIC adjusted test nonsignificant,NOT_SUPPORTED,Remove general independence claim; show attenuation prominently.,E0001;E0002;E0003;E0004;E0005;E0006;E0007;E0008;E0009;E0010;E0011;E0012;E0013;E0014;E0015;E0016;E0017;E0018;E0019;E0020;E0021;E0022;E0023;E0024;E0025;E0026;E0027;E0028;E0029;E0030;E0031;E0032;E0033;E0034;E0035;E0036;E0037;E0038;E0039;E0040;E0041;E0042;E0043;E0044;E0045;E0046;E0047;E0048;E0049;E0050;E0051;E0052;E0053;E0054;E0055;E0056;E0057;E0058;E0059;E0060;E0061;E0062;E0063;E0064;E0065;E0066;E0067;E0068;E0069;E0070;E0071;E0072;E0073;E0074;E0075;E0076;E0077;E0078;E0079;E0080;E0081;E0082;E0083;E0084;E0085;E0086;E0087;E0088;E0089;E0090;E0091;E0092;E0093;E0094;E0095;E0096;E0097;E0098;E0099;E0100;E0101;E0102;E0103;E0104;E0105;E0106;E0107;E0108;E0109;E0110;E0111;E0112;E0113;E0114;E0115;E0116;E0117;E0118;E0119;E0120;E0121;E0122;E0123;E0124;E0125;E0126;E0127;E0128;E0129;E0130;E0131;E0132;E0133;E0134;E0135;E0136;E0137;E0138;E0139;E0140;E0141;E0142;E0143;E0144;E0145;E0146;E0147;E0148;E0149;E0150;E0151;E0152;E0153;E0154;E0155;E0156;E0157;E0158;E0159;E0160;E0161;E0162;E0163;E0164;E0165;E0166;E0167;E0168;E0169;E0170;E0171;E0172;E0173;E0174;E0175;E0176;E0177;E0178;E0179;E0180;E0181;E0182;E0183;E0184;E0185;E0186;E0187;E0188;E0189;E0190;E0191;E0192;E0193;E0194;E0195;E0196;E0197;E0198;E0199;E0200;E0201;E0202;E0203;E0204;E0205;E0206;E0207;E0208;E0209;E0210;E0211;E0212;E0213;E0214;E0243;E0244;E0245
D,Candidate program predicts chemotherapy response,No supporting GSE25066 pCR evidence,"pCR P=0.943483; only four platform genes, no treatment interaction",NOT_SUPPORTED,Remove response prediction claim; report reduced-platform negative evidence.,E0215;E0216
E,Candidate program predicts survival,No composite survival support,GSE25066 DRFS and METABRIC OS/RFS nonsignificant,NOT_SUPPORTED,Remove prognostic claim; retain negative results and precision.,E0183;E0184;E0185;E0186;E0187;E0188;E0189;E0190;E0191;E0192;E0193;E0194;E0195;E0196;E0197;E0198;E0199;E0200;E0201;E0202;E0203;E0204;E0205;E0206;E0207;E0208;E0209;E0210;E0211;E0212;E0213;E0214;E0215;E0216
F,Candidate program creates a CRISPR dependency phenotype,No genome-wide FDR-supported dependency,Zero adjusted genome-wide and DDR discoveries; observational expression-dependency regressions,NOT_SUPPORTED,Remove selective genetic vulnerability claim.,E0246;E0247
G,Candidate program is malignant-cell specific,Program measurable in pseudobulks,Eight TNBC paired units: P=0.546875; mixed cellular expression,NOT_SUPPORTED,Remove malignant-specificity claim; retain contextual result.,E0217;E0218;E0219;E0220;E0221;E0222;E0223;E0224;E0225;E0226;E0227;E0228;E0229;E0230;E0231;E0232;E0233;E0234;E0235;E0236;E0237;E0238;E0239;E0240;E0241;E0242
H,Candidate program is an independent clinical HRD biomarker,Unadjusted genomic associations,"Proliferation confounding; no clinical calibration, utility or prospective validation",NOT_SUPPORTED,Remove clinical biomarker and therapeutic selection language.,E0001;E0002;E0003;E0004;E0005;E0006;E0007;E0008;E0009;E0010;E0011;E0012;E0013;E0014;E0015;E0016;E0017;E0018;E0019;E0020;E0021;E0022;E0023;E0024;E0025;E0026;E0027;E0028;E0029;E0030;E0031;E0032;E0033;E0034;E0035;E0036;E0037;E0038;E0039;E0040;E0041;E0042;E0043;E0044;E0045;E0046;E0047;E0048;E0049;E0050;E0051;E0052;E0053;E0054;E0055;E0056;E0057;E0058;E0059;E0060;E0061;E0062;E0063;E0064;E0065;E0066;E0067;E0068;E0069;E0070;E0071;E0072;E0073;E0074;E0075;E0076;E0077;E0078;E0079;E0080;E0081;E0082;E0083;E0084;E0085;E0086;E0087;E0088;E0089;E0090;E0091;E0092;E0093;E0094;E0095;E0096;E0097;E0098;E0099;E0100;E0101;E0102;E0103;E0104;E0105;E0106;E0107;E0108;E0109;E0110;E0111;E0112;E0113;E0114;E0115;E0116;E0117;E0118;E0119;E0120;E0121;E0122;E0123;E0124;E0125;E0126;E0127;E0128;E0129;E0130;E0131;E0132;E0133;E0134;E0135;E0136;E0137;E0138;E0139;E0140;E0141;E0142;E0143;E0144;E0145;E0146;E0147;E0148;E0149;E0150;E0151;E0152;E0153;E0154;E0155;E0156;E0157;E0158;E0159;E0160;E0161;E0162;E0163;E0164;E0165;E0166;E0167;E0168;E0169;E0170;E0171;E0172;E0173;E0174;E0175;E0176;E0177;E0178;E0179;E0180;E0181;E0182;E0215;E0216;E0243;E0244;E0245
I,Program may represent a transcriptional correlate of HRD-associated tumor state,TCGA discovery and SCAN-B direct genomic replication,Observational association; shared proliferation state plausible,SUPPORTED,Use as central conservative framing.,E0001;E0002;E0003;E0004;E0005;E0006;E0007;E0008;E0009;E0010;E0011;E0012;E0013;E0014;E0015;E0016;E0017;E0018;E0019;E0020;E0021;E0022;E0023;E0024;E0025;E0026;E0027;E0028;E0029;E0030;E0031;E0032;E0033;E0034;E0035;E0036;E0037;E0038;E0039;E0040;E0041;E0042;E0043;E0044;E0045;E0046;E0047;E0048;E0049;E0050;E0051;E0052;E0053;E0054;E0055;E0056;E0057;E0058;E0059;E0060;E0061;E0062;E0063;E0064;E0065;E0066;E0067;E0068;E0069;E0070;E0071;E0072;E0073;E0074;E0075;E0076;E0077;E0078;E0079;E0080;E0081;E0082;E0083;E0084;E0085;E0086;E0087;E0088;E0089;E0090;E0091;E0092;E0093;E0094;E0095;E0096;E0097;E0098;E0099;E0100;E0101;E0102;E0103;E0104;E0105;E0106;E0107;E0108;E0109;E0110;E0111;E0112;E0113;E0114;E0115;E0116;E0117;E0118;E0119;E0120;E0121;E0122;E0123;E0124;E0125;E0126;E0127;E0128;E0129;E0130;E0131;E0132;E0133;E0134;E0135;E0136;E0137;E0138;E0139;E0140;E0141;E0142;E0143;E0144;E0145;E0146;E0147;E0148;E0149;E0150;E0151;E0152;E0153;E0154;E0155;E0156;E0157;E0158;E0159;E0160;E0161;E0162;E0163;E0164;E0165;E0166;E0167;E0168;E0169;E0170;E0171;E0172;E0173;E0174;E0175;E0176;E0177;E0178;E0179;E0180;E0181;E0182;E0243;E0244;E0245
J,HORMAD1 alone explains the entire composite signal,HORMAD1 is individually strong,TCGA and SCAN-B leave-HORMAD1-out associations remain significant; residual correlation cannot partition causal contribution,NOT_SUPPORTED,Reject entire-signal assertion; report individual strength and leave-one-out stability.,E0001;E0002;E0003;E0004;E0005;E0006;E0007;E0008;E0009;E0010;E0011;E0012;E0013;E0014;E0015;E0016;E0017;E0018;E0019;E0020;E0021;E0022;E0023;E0024;E0025;E0026;E0027;E0028;E0029;E0030;E0031;E0032;E0033;E0034;E0035;E0036;E0037;E0038;E0039;E0040;E0041;E0042;E0043;E0044;E0045;E0046;E0047;E0048;E0049;E0050;E0051;E0052;E0053;E0054;E0055;E0056;E0057;E0058;E0059;E0060;E0061;E0062;E0063;E0064;E0065;E0066;E0067;E0068;E0069;E0070;E0071;E0072;E0073;E0074;E0075;E0076;E0077;E0078;E0079;E0080;E0081;E0082;E0083;E0084;E0085;E0086;E0087;E0088;E0089;E0090;E0091;E0092;E0093;E0094;E0095;E0096;E0097;E0098;E0099;E0100;E0101;E0102;E0103;E0104;E0105;E0106;E0107;E0108;E0109;E0110;E0111;E0112;E0113;E0114;E0115;E0116;E0117;E0118;E0119;E0120;E0121;E0122;E0123;E0124;E0125;E0126;E0127;E0128;E0129;E0130;E0131;E0132;E0133;E0134;E0135;E0136;E0137;E0138;E0139;E0140;E0141;E0142;E0143;E0144;E0145;E0146;E0147;E0148;E0149;E0150;E0151;E0152;E0153;E0154;E0155;E0156;E0157;E0158;E0159;E0160;E0161;E0162;E0163;E0164;E0165;E0166;E0167;E0168;E0169;E0170;E0171;E0172;E0173;E0174;E0175;E0176;E0177;E0178;E0179;E0180;E0181;E0182;E0243;E0244;E0245
