dataset_name,local_path,size_bytes,audit_status,identifier_type,reuse_decision,new_download_required,limitations
TCGA-BRCA expression,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\TCGA.BRCA.sampleMap_HiSeqV2_exon.gz,673203373,Present: exon-level only,TCGA barcode,retire exon reconstruction; acquire validated gene-level RNA,no for local asset,"Exon coordinate rows, not validated gene-level expression; keep raw but replace V2 primary expression input."
TCGA-BRCA clinical/IHC,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\BRCA_clinicalMatrix.tsv.gz,1698413,Present,TCGA barcode,reuse clinical IHC; adjudicate equivocal HER2 using available ISH/FISH; no expression-median TNBC,no for local asset,Plain text despite .gz; ER/PR/HER2 fields and PAM50 available. Unknown/equivocal values require explicit exclusion or adjudication.
TCGA-BRCA mutation,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\mc3_BRCA_mc3.txt.gz,2138824,Present: reduced MC3 table,TCGA barcode,legacy comparison only; reduced mutation list does not establish assay coverage,no for local asset,Observed somatic calls; absent sample in this table does not establish assay coverage or wild-type status.
TCGA-BRCA copy number,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\TCGA.BRCA.sampleMap_Gistic2_CopyNumber_Gistic2_all_thresholded.by_genes.gz,2364989,Present: gene-level thresholded GISTIC,TCGA barcode,supportive gene-level CNA only; not allele-specific segments or HRD scars,no for local asset,Preserve sign and amplitude; not segment/allele-specific CNA and insufficient by itself for LOH/TAI/LST.
TCGA-BRCA methylation,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\TCGA.BRCA.sampleMap_HumanMethylation450.gz,783161707,Present: probe-level beta matrix,TCGA barcode,conditional reuse for BRCA1 promoter methylation; probe/coordinate QC required; not central outcome,no for local asset,Rebuild strand-aware probe mapping and missingness handling; local hg38 manifest also present.
TCGA survival,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\BRCA_survival.txt,69154,Present,TCGA barcode,reuse OS/DSS/DFI/PFI with endpoint and patient deduplication QC,no for local asset,"OS/DSS/DFI/PFI event/time fields; retain endpoint definitions, censoring and patient/sample distinction."
TCGA-OV expression,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\TCGA.OV.sampleMap_HiSeqV2.gz,16904473,Present,TCGA barcode,context only; outside central V2,no for local asset,"Gene-level matrix; OV is cross-cancer context, not TNBC-specific external replication."
TCGA-OV copy number,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\TCGA.OV.sampleMap_Gistic2_CopyNumber_Gistic2_all_thresholded.by_genes.gz,944715,Present,TCGA barcode,context only; outside central V2,no for local asset,Thresholded GISTIC; participant normalization needed for clinical joins.
TCGA-OV clinical,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\ov_tcga_pub_clinical_data.tsv,110791,Present,TCGA barcode,context only; outside central V2,no for local asset,Sample and Patient ID available; additional GDC clinical tar present. Disease-free endpoint must not be relabeled PFI.
TCGA-OV GDC clinical archive,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\clinical.project-tcga-ov.2026-05-22.tar.gz,434150,Present archive,cases.submitter_id: 12-character TCGA participant barcode,context only; outside central V2,no for local asset,"Clinical/follow-up/treatment tables inventoried in archive_members.csv; join on case submitter ID, not UUID without mapping."
METABRIC archive,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\brca_metabric.tar.gz,510321901,Present archive and extracted copy,not applicable / see member schema,reuse independent expression/clinical validation; no local validated HRD/SBS3; do not label gene-CNA score as scar HRD,no for local asset,"Clinical, expression, mutation, CNA and promoter RRBS data available; archive-to-extracted SHA256 matches in duplicate_files.csv."
METABRIC clinical,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\brca_metabric_clinical_data.tsv,747984,Present,METABRIC ID,reuse independent expression/clinical validation; no local validated HRD/SBS3; do not label gene-CNA score as scar HRD,no for local asset,"Use Sample ID/Patient ID MB-xxxx or MTS-Txxxx, not Study ID; receptor-defined TNBC audit needed before replication."
METABRIC expression,E:\apply\journal publication\TNBC_SV_DNA_Repair\results\metabric_extracted\brca_metabric\data_mrna_illumina_microarray.txt,689254852,Present,METABRIC ID,reuse independent expression/clinical validation; no local validated HRD/SBS3; do not label gene-CNA score as scar HRD,no for local asset,Gene symbols with MB sample columns; separate diploid-reference z-score file also present.
METABRIC copy number,E:\apply\journal publication\TNBC_SV_DNA_Repair\results\metabric_extracted\brca_metabric\data_cna.txt,106059807,Present,METABRIC ID,reuse independent expression/clinical validation; no local validated HRD/SBS3; do not label gene-CNA score as scar HRD,no for local asset,Genome-wide gene CNA; distinguish assay metadata from sample columns.
METABRIC mutation,E:\apply\journal publication\TNBC_SV_DNA_Repair\results\metabric_extracted\brca_metabric\data_mutations.txt,4023586,Present,METABRIC ID,reuse independent expression/clinical validation; no local validated HRD/SBS3; do not label gene-CNA score as scar HRD,no for local asset,Mutation table coverage is not whole-cohort wild-type evidence; gene-panel and case-list files present.
METABRIC methylation,E:\apply\journal publication\TNBC_SV_DNA_Repair\results\metabric_extracted\brca_metabric\data_methylation_promoters_rrbs.txt,276336736,Present,METABRIC ID,conditional reuse for BRCA1 promoter methylation; probe/coordinate QC required; not central outcome,no for local asset,Promoter RRBS subset; not same assay or coverage as BRCA 450k.
GSE25066 processed expression/clinical,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\GSE25066_series_matrix.txt.gz,61627399,Present: GPL96,GEO GSM,reuse GPL96 array and clinical response/DRFS; obtain GPL96 annotation; treatment response is not direct HRD,no for local asset,Quoted GSM IDs; IHC and response metadata embedded. Legacy GPL570 map is platform-mismatched.
GSE25066 raw CEL archive,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\GSE25066_RAW.tar,1203927040,Present,not applicable / see member schema,reuse GPL96 array and clinical response/DRFS; obtain GPL96 annotation; treatment response is not direct HRD,no for local asset,Compressed CEL members retained; member identifiers compared with series matrix. Raw and processed representations are not byte duplicates.
GSE176078 single-cell archive,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\GSE176078_Wu_etal_2021_BRCA_scRNASeq.tar.gz,558829202,Present archive; loose MTX missing,CID..._cellbarcode; metadata orig.ident has 26 groups,"reuse archived matrix/features/barcodes and metadata; future extraction only under V2; donor-level epithelial specificity, not HRD validation",no for local asset,MTX declares 29733 genes x 100064 cells and 177994136 nonzeros; metadata has 26 orig.ident groups. Do not treat missing loose MTX as missing source data.
GSE176078 cell metadata,E:\apply\journal publication\TNBC_SV_DNA_Repair\results\sc_extracted\Wu_etal_2021_BRCA_scRNASeq\metadata.csv,11004185,Present,dataset-local cell/patient ID,"reuse archived matrix/features/barcodes and metadata; future extraction only under V2; donor-level epithelial specificity, not HRD validation",no for local asset,Cell-level IDs require metadata patient mapping; patient/sample counts in quality_checks.json.
gnomAD SV,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\gnomad.v4.1.sv.sites.bed.gz,1348435777,Present: population sites,not applicable / see member schema,context only; outside central V2,no for local asset,"Population summary site records, no TCGA tumor sample matrix; cannot overlap with TCGA patient IDs."
HGSVC2 SV,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\variants_freeze4_sv_insdel_alt.vcf.gz,24621084,Present: population VCF,HGSVC donor IDs,context only; outside central V2,no for local asset,VCF header determines donor/genotype availability; not tumor-matched SV data.
GTEx eQTL,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\GTEx_Analysis_v10_eQTL.tar,2561047718,Present: gzip tar with parquet members,gene_id: versioned Ensembl; variant_id: chromosome_position_alleles_build; no patient IDs,context only; outside central V2,no for local asset,"Breast significant-pair table has 2280626 rows x 13 columns; three rows decoded in archive_data_previews.json. Summary associations, not individual-level expression/genotypes or TCGA matching."
450k annotation,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\HM450_hg38_probes.tsv.gz,28881309,Present; legacy schema incompatible,not applicable / see member schema,context only; outside central V2,no for local asset,Actual chromosome column CpG_chrm contains chr prefixes; NB5 requests nonexistent chrom and compares bare chromosome strings. Strand and QC mask fields are present.
TCGA phenotype,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\TCGA_phenotype.tsv.gz,61165,Present,TCGA barcode,context only; outside central V2,no for local asset,Pan-cancer phenotype table; cohort labels and IDs profiled separately.
COSMIC annotation,E:\apply\journal publication\TNBC_SV_DNA_Repair\dataset\COSMIC_Cancer_Gene_Census.tsv,183760,Present,not applicable / see member schema,context only; outside central V2,no for local asset,"Gene-level annotation, not patient mutation data."
